,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPGSV,3,3,11,24,17,287,18,12,04,318,,02,03,055,*41",,,,,,,,,,,,,,
,,,,,"$GPRMC,185701.000,A,3950.9355,N,07531.0733,W,1.16,63.28,070424,,,A*48",39.848925,-75.517888,"39.848925,-75.51788833",,,,,,,,,,,
,,,,,"$GPGGA,185702.000,3950.9358,N,07531.0732,W,1,08,1.11,116.5,M,-33.8,M,,*56",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185702.000,A,3950.9358,N,07531.0732,W,1.14,53.44,070424,,,A*4C",39.848930,-75.517887,"39.84893,-75.51788667",,,,,,,,,,,
,,,,,"$GPGGA,185703.000,3950.9361,N,07531.0732,W,1,08,1.11,116.4,M,-33.8,M,,*5C",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185703.000,A,3950.9361,N,07531.0732,W,0.94,41.86,070424,,,A*43",39.848935,-75.517887,"39.848935,-75.51788667",,,,,,,,,,,
,,,,,"$GPGGA,185704.000,3950.9362,N,07531.0729,W,1,08,1.11,116.4,M,-33.8,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185704.000,A,3950.9362,N,07531.0729,W,0.98,43.67,070424,,,A*4C",39.848937,-75.517882,"39.84893667,-75.51788167",,,,,,,,,,,
,,,,,"$GPGGA,185705.000,3950.9364,N,07531.0726,W,1,08,1.11,116.4,M,-33.8,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185705.000,A,3950.9364,N,07531.0726,W,1.00,44.53,070424,,,A*44",39.848940,-75.517877,"39.84894,-75.51787667",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185704.000,A,3950.9362,N,07531.0729,W,0.98,43.67,070424,,,A*4C",39.848937,-75.517882,"39.84893667,-75.51788167",,,,,,,,,,,
,,,,,"$GPGGA,185705.000,3950.9364,N,07531.0726,W,1,08,1.11,116.4,M,-33.8,M,,*5A",,,,,,,,,,,,,,
